#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
150,Bioinformatics Co-op (Fall 2026),WaVe Life Sciences,https://www.indeed.com/viewjob?jk=53339aa7d9ee49b0,"Cambridge, MA, US",MA,N/A,N/A,N/A
151,Area Sales Lead - Southeast,Intellia,https://www.indeed.com/viewjob?jk=cd51392f5a0c2a45,"Cambridge, MA, US",MA,"$231,300",N/A,N/A
152,Patient Access Director - East,Intellia,https://www.indeed.com/viewjob?jk=db758336737d78ba,"Cambridge, MA, US",MA,"$225,000",N/A,N/A
153,Patient Access Liaison - Northeast,Intellia,https://www.indeed.com/viewjob?jk=66aebf3454f9d680,"Cambridge, MA, US",MA,"$193,500",N/A,N/A
154,Patient Access Liaison - Northwest,Intellia,https://www.indeed.com/viewjob?jk=9f4d185efce97214,"Cambridge, MA, US",MA,"$193,500",N/A,N/A
155,Patient Access Director - West,Intellia,https://www.indeed.com/viewjob?jk=3fed1c01ff75f616,"Cambridge, MA, US",MA,"$225,000",N/A,N/A
156,Patient Access Liaison - North Central,Intellia,https://www.indeed.com/viewjob?jk=32e2b3b3677c38de,"Cambridge, MA, US",MA,"$193,500",N/A,N/A
157,Patient Access Liaison - Florida,Intellia,https://www.indeed.com/viewjob?jk=bd4ac2408c30ab1e,"Cambridge, MA, US",MA,"$193,500",N/A,N/A
158,Patient Access Liaison - Mountain,Intellia,https://www.indeed.com/viewjob?jk=633639d50197b123,"Cambridge, MA, US",MA,"$193,500",N/A,N/A
159,Area Sales Lead - Northeast,Intellia,https://www.indeed.com/viewjob?jk=86290f27e46a197c,"Cambridge, MA, US",MA,"$231,300",N/A,N/A
160,Patient Access Liaison - Southeast,Intellia,https://www.indeed.com/viewjob?jk=6adbd5064c73f64b,"Cambridge, MA, US",MA,"$193,500",N/A,N/A
