#,Title,Company,URL,Location,State,Salary
100,Post Doctoral Fellow - Lab of Dr. Ya-Ming Hou,Thomas Jefferson University & Jefferson Health,https://www.indeed.com/viewjob?jk=0d2097333747ddb5,"Philadelphia, PA, US",PA,N/A
101,R&D Intern,Legend Biotech,https://www.indeed.com/viewjob?jk=01d487bd22c0c3be,"Philadelphia, PA, US",PA,N/A
102,R&D Intern,Legend Biotech,https://www.indeed.com/viewjob?jk=74abd4bf55afedce,"Philadelphia, PA, US",PA,N/A
103,Supervising Research Scientist,Rutgers University,https://www.indeed.com/viewjob?jk=90d8597d2de1b346,"New Brunswick, NJ, US",NJ,N/A
104,Bioethics Research Coordinator,Columbia University,https://www.indeed.com/viewjob?jk=a4ff40885843204e,"New York, NY, US",NY,"$66,300"
105,Senior Technician - Hematology & Oncology,Columbia University,https://www.indeed.com/viewjob?jk=4c5c9dc2a75bfb94,"New York, NY, US",NY,"$61,692"
106,Mobile Phlebotomist (Independent Contractor),"Biodesix, Inc.",https://www.indeed.com/viewjob?jk=918fcfe7961f8b57,"Clifton, NJ, US",NJ,N/A
107,Mobile Phlebotomist (Independent Contractor),"Biodesix, Inc.",https://www.indeed.com/viewjob?jk=6bacbe20a9b28757,"Morristown, NJ, US",NJ,N/A
108,Bioinformatician II- Tisch Cancer Institute BiNGS Core,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=bd6f16ab95cb43db,"New York, NY, US",NY,$65885
109,Postdoctoral Associate (Abreu Lab),New York University,https://www.indeed.com/viewjob?jk=fcbe972f71851f9c,"New York, NY, US",NY,"$62,500"
110,"Oligonucleotide Scientist I, Process Development",Editas Medicine,https://www.indeed.com/viewjob?jk=95fd8d4d165eace0,"Cambridge, MA, US",MA,"$115,000"
111,"Scientist I, Analytical Sciences",Editas Medicine,https://www.indeed.com/viewjob?jk=ebac1d4eab78b415,"Cambridge, MA, US",MA,"$115,000"
112,"Associate Scientist, Postdoctoral Fellow- Data Science for Multi-omics and Biomarker Modelling in Neuroscience",Merck,https://www.indeed.com/viewjob?jk=6f231a7e8b47f7a4,"Cambridge, MA, US",MA,N/A
113,Machine Learning Software Engineer,nan,https://www.indeed.com/viewjob?jk=5adf1b3bef3eeb0f,"Cambridge, MA, US",MA,$30
114,"Senior Manager, Clinical Biomarker Operations",Apogee Therapeutics,https://www.indeed.com/viewjob?jk=8345209181a4c1f2,"Boston, MA, US",MA,"$160,000"
115,Associate Computational Biologist,Dana-Farber Cancer Institute,https://www.indeed.com/viewjob?jk=ebf664dbd48ae3a1,"Boston, MA, US",MA,"$60,000"
116,Consumer Product Testing Analytical Director,Eurofins,https://www.indeed.com/viewjob?jk=11f7a5e28394611e,"Norwood, MA, US",MA,$100k
117,Specimen Processing Specialist I,Fulgent Therapeutics,https://www.indeed.com/viewjob?jk=220e2ffc5db9339d,"Needham, MA, US",MA,N/A
118,"Associate Director, US Analytics (Heme-Oncology)",SERVIER,https://www.indeed.com/viewjob?jk=e21d22970fe0dd58,"Boston, MA, US",MA,$160k
119,Bioanalytical Chemist,Eurofins,https://www.indeed.com/viewjob?jk=3ece8968ac89ae52,"Andover, MA, US",MA,$26
120,Senior Clinical Research Coordinator- Angelman Syndrome,Boston Children's Hospital,https://www.indeed.com/viewjob?jk=b14ad202855f0443,"Boston, MA, US",MA,$58676
121,Clinical Research Assistant- Angelman Syndrome,Boston Children's Hospital,https://www.indeed.com/viewjob?jk=7acfdef2ecc415e1,"Boston, MA, US",MA,$41246
122,Scientific Team Lead – Analytical Biochemistry,Eurofins,https://www.indeed.com/viewjob?jk=81a01a7dd13055e4,"Cambridge, MA, US",MA,$34
123,Postdoctoral Research Fellow - Crompton Lab,Dana-Farber Cancer Institute,https://www.indeed.com/viewjob?jk=fe8d1b0ef7ddb97f,"Boston, MA, US",MA,"$72,000"
124,Bioprocess Analytical Chemist (Purification Process Support),Eurofins,https://www.indeed.com/viewjob?jk=23f0cc71377effd3,"Andover, MA, US",MA,$27
